,Unnamed: 0,title,subject,hours,date,input_user
0,0,The Logic of Scientific Discovery,Philosophy,1.0,2021-09-26,1
1,1,Confessions of An Economic Hitman,Biography,1.0,2021-09-27,1
2,2,Discrete Mathematics and its Applications,Mathematics,1.0,2021-09-27,1
3,3,Confessions of An Economic Hitman,Biography,1.0,2021-09-27,1
4,4,Discrete Mathematics and its Applications,Mathematics,1.0,2021-09-27,1
5,5,Confessions of An Economic Hitman,Biography,1.5,2021-09-28,1
6,6,Discrete Mathematics and its Applications,Mathematics,1.0,2021-09-28,1
7,7,Discrete Mathematics and its Applications,Mathematics,1.0,2021-09-28,1
8,8,Discrete Mathematics and its Applications,Mathematics,1.0,2021-09-28,1
